title,authors,genre,cover,average_rating,ratings_count,summary,,num_pages,published_year,subtitle,isbn10,isbn13
The Hobbit / The Lord of the Rings,John Ronald Reuel Tolkien,Fiction,http://books.google.com/books/content?id=rW9cLwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.59,97731,"Presents a box set including the complete ""Lord of the Rings"" trilogy, as well as its prequel, ""The Hobbit.""",,1728,2012,The Hobbit / The Fellowship of the Ring / The Two Towers / The Return of the King,345538374,9780345538376
Hard Eight,Janet Evanovich,Fiction,http://books.google.com/books/content?id=xXdPbpUfTSAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17,99289,"When Stephanie Plum is hired to find a missing child, she begins to wonder if she is working on the right side of the law when events turn suspicious, and in the wake of a rocky relationship with Morelli, Ranger finds an opportunity to act on his feelings. Reprint.",,326,2003,A Stephanie Plum Novel,312983867,9780312983864
A Breath of Snow and Ashes,Diana Gabaldon,Fiction,http://books.google.com/books/content?id=LKDAs-Hrea0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.44,100326,"In 1772, Jamie Fraser is asked by the governor to help protect the colonies for King and Crown, but thanks to his time-traveling, twentieth-century wife, Claire, Jamie is aware of the ultimate result of the American Revolution.",,980,2006,,385340397,9780385340397
Seven Up,Janet Evanovich,Fiction,http://books.google.com/books/content?id=YGEWzGIjP7MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16,101029,"When a senior citzen is charged with smuggling contraband cigarettes, Stephanie Plum and Lula get more than they bargained for--a corpse in the woodshed and an old man on the lam--but Stephanie is more focused on vice cop Joe Morelli who has proposed marriage and a fellow bounty hunter Ranger who is proposing one perfect night. Reprint.",,337,2002,A Stephanie Plum Novel,312980140,9780312980146
His Dark Materials,Philip Pullman,Fiction,http://books.google.com/books/content?id=zBFkAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.26,102687,"Lyra Belacqua tries to prevent kidnapped children from becoming the subject of gruesome experiments, helps Will Parry search for his father, and finds that she and Will are caught in a battle between the forces of the Authority and those gathered by her uncle, Lord Asriel.",,1088,2003,,440238609,9780440238607
Lord of Chaos,Robert Jordan,Fiction,http://books.google.com/books/content?id=UcfrSLHYDgIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.12,102983,"The Wheel of Time ® is a PBS Great American Read Selection! Now in development for TV! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters. The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow. On the slopes of Shayol Ghul, the Myrddraal swords are forged, and the sky is not the sky of this world; In Salidar the White Tower in exile prepares an embassy to Caemlyn, where Rand Al'Thor, the Dragon Reborn, holds the throne--and where an unexpected visitor may change the world.... In Emond's Field, Perrin Goldeneyes, Lord of the Two Rivers, feels the pull of ta'veren to ta'veren and prepares to march... Morgase of Caemlyn finds a most unexpected, and quite unwelcome, ally....And south lies Illian, where Sammael holds sway... TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —Variety The Wheel of Time® New Spring: The Novel #1 The Eye of the World #2 The Great Hunt #3 The Dragon Reborn #4 The Shadow Rising #5 The Fires of Heaven #6 Lord of Chaos #7 A Crown of Swords #8 The Path of Daggers #9 Winter's Heart #10 Crossroads of Twilight #11 Knife of Dreams By Robert Jordan and Brandon Sanderson #12 The Gathering Storm #13 Towers of Midnight #14 A Memory of Light By Robert Jordan and Teresa Patterson The World of Robert Jordan's The Wheel of Time By Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria Simons The Wheel of Time Companion By Robert Jordan and Amy Romanczuk Patterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time",,1011,1995,Book Six of 'The Wheel of Time',812513754,9780812513752
The Forever War,Joe Haldeman,Fiction,http://books.google.com/books/content?id=jc1eCZlD-ScC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.15,103375,"Drafted into the ranks of Earth's interstellar warriors, private William Mandella finds his fight against the Taurans secondary to the side-effects of faster-than-light space travel, which affects the rate at which he ages. Winner of the Hugo and Nebula Awards. Reprint. 25,000 first printing.",,278,2003,,60510862,9780060510862
Lover Revealed,J. R. Ward;Jessica Bird Ward,Fiction,http://books.google.com/books/content?id=PDKAAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3,104180,"The only human allowed in the inner circle of the Black Dagger Brotherhood, ex-homicide cop Butch O'Neal, after saving a civilian vampire from the dreaded slayers, is left for dead and only the aristocratic vampire beauty he desires can bring him back. Original.",,455,2007,A Novel of the Black Dagger Brotherhood,451412354,9780451412355
Mystic River,Dennis Lehane,Fiction,http://books.google.com/books/content?id=2U-ivgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.18,105317,"When they were children, Sean Devine, Jimmy Marcus, and Dave Boyle were friends. But then a strange car pulled up to their street. One boy got into the car, two did not, and something terrible happened -- something that ended their friendship and changed all three boys forever. Twenty-five years later, Sean is a homicide detective. Jimmy is an ex-con who owns a corner store. And Dave is trying to hold his marriage together and keep his demons at bay -- demons that urge him to do terrible things. When Jimmy's daughter is found murdered, Sean is assigned to the case. His investigation brings him into conflict with Jimmy, who finds his old criminal impulses tempt him to solve the crime with brutal justice. And then there is Dave, who came home the night Jimmy's daughter died covered in someone else's blood. A tense and unnerving psychological thriller, Mystic River is also an epic novel of love and loyalty, faith and family, in which people irrevocably marked by the past find themselves on a collision course with the darkest truths of their own hidden selves.",,416,2003,,60584750,9780060584757
Blindness,José Saramago;Giovanni Pontiero,Fiction,http://books.google.com/books/content?id=9ab5g1_ghuQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.11,106162,"A city is hit by an epidemic of ""white blindness"" whose victims are confined to a vacant mental hospital, while a single eyewitness to the nightmare guides seven oddly assorted strangers through the barren urban landscape",,326,1999,,156007754,9780156007757
A Fine Balance,Rohinton Mistry,Fiction,http://books.google.com/books/content?id=Ct6E1SONSGEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.36,108208,"In India during the mid-1970s, after a ""state of internal emergency"" is declared, four very different people--a widowed seamstress, a student, and a man and his nephew who have fled their village's caste violence--find their lives becoming inextricably intertwined",,603,1997,A Novel,140003065X,9781400030651
Fablehaven,Brandon Mull,Fiction,http://books.google.com/books/content?id=tbVIPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09,111896,"When Kendra and Seth go to stay at their grandparents' estate, they discover that it is a sanctuary for magical creatures and that a battle between good and evil is looming.",,351,2006,,1590385810,9781590385814
Murder at the Vicarage,Agatha Christie,Fiction,http://books.google.com/books/content?id=gXWnYlqSrnAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.05,113459,"When Colonel Protheroe is found dead from a single gun shot wound to the head, none of his neighbors in the village of St. Mary Mead is much surprised. So many people wished this local official would say farewell, if not quite so permanently. With suspects abound and the local police symied it is up to Miss Jane Marple to root out the killer.",,288,2005,A Miss Marple Mystery,1579126251,9781579126254
No Country for Old Men,Cormac McCarthy,Fiction,http://books.google.com/books/content?id=Q8zM_BuvaroC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.13,114408,"Stumbling upon a bloody massacre, a cache of heroin, and more than two million in cash during a hunting trip, Llewelyn Moss removes the money, a decision that draws him and his young wife into the middle of a violent confrontation.",,309,2006,,375706674,9780375706677
Four to Score,Janet Evanovich,Fiction,http://books.google.com/books/content?id=PONNi9gzTvsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17,114593,"Stephanie Plum, Trenton, New Jersey's favorite pistol-packing, condom-carrying bounty hunter, is back--and on the trail of a revenge-seeking waitress who's skipped bail. With then help of 73-year-old Grandma Mazur, ex-hooker Lula, a transvestite musician named Sally Sweet, and the all-too-hospitable, all-too-sexy Joe Morelli, Stephanie might just catch her woman. Then again, with more mishaps than there are exits on the Jersey Turnpike--including murders, firebombs, and Stephanie's arch-rival bounty hunter chasing after the same fugative--Stephanie better watch her back big-time if she wants to live to crack this case.",,313,1999,,312966970,9780312966973
Cloudy With a Chance of Meatballs,Judi Barrett,Fiction,http://books.google.com/books/content?id=fQU6UrNfe4MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16,114747,"The beloved, bestselling tale of edible weather is brought to life! If food dropped like rain from the sky, wouldn't it be marvelous! Or would it? It could, after all, be messy. And you'd have no choice. What if you didn't like what fell? Or what if too much came? Have you ever thought of what it might be like to be squashed flat by a pancake?",,32,1982,,689707495,9780689707490
The Alienist,Caleb Carr,Fiction,http://books.google.com/books/content?id=9mWMDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.06,119839,"When a madman begins stalking victims on the streets of 1896 New York, a team of investigators is forced to apply radical and untested techniques that include fingerprinting and the controversial science of psychology. Reprint. 25,000 first printing.",,498,2006,,812976142,9780812976144
The Fiery Cross,Diana Gabaldon,Fiction,http://books.google.com/books/content?id=4D5ivgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.27,120981,"The time is 1771 and the colony of North Carolina teeters on an uneasy edge. Jamie Fraser is a man of worth but he has a lot to lose. His wife, Claire, is known notoriously as a wisewoman or a witch. They both know they have to survive",,1443,2005,,440221668,9780440221661
Brave New World and Brave New World Revisited,Aldous Huxley,Fiction,http://books.google.com/books/content?id=3h9eNAyQWzAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16,123044,"The astonishing novel Brave New World, originally published in 1932, presents Aldous Huxley's vision of the future -- of a world utterly transformed. Through the most efficient scientific and psychological engineering, people are genetically designed to be passive and therefore consistently useful to the ruling class. This powerful work of speculative fiction sheds a blazing critical light on the present and is considered to be Huxley's most enduring masterpiece. Following Brave New World is the nonfiction work Brave New World Revisited, first published in 1958. It is a fascinating work in which Huxley uses his tremendous knowledge of human relations to compare the modern-day world with the prophetic fantasy envisioned in Brave New World, including threats to humanity, such as overpopulation, propaganda, and chemical persuasion.",,340,2005,,60776099,9780060776091
Suzanne's Diary for Nicholas,James Patterson,Fiction,http://books.google.com/books/content?id=Yqnglffxl1oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16,128191,"Katie Wilkinson has finally found the perfect man - but one day he suddenly disappears, leaving behind only a diary written by a new mother named Suzanne for her baby, Nicholas. In it she intimately reveals the romance between herself and the child's father, her hopes for their marriage, and her unparalleled joy in motherhood. As Katie reads on, she realizes that the man she loves is Suzanne's husband. Now, filled with terror and hope, Katie must struggle to understand what has happened - and find out if her new love has a prayer of surviving.",,289,2003,,446611085,9780446611084
Shutter Island,Dennis Lehane,Fiction,http://books.google.com/books/content?id=WZrQjhses-YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09,128927,"U.S. Marshal Teddy Daniels and his partner, Chuck Aule, come to Shutter Island's Ashecliffe Hospital in search of an escaped mental patient, but uncover true wickedness as Ashecliffe's mysterious patient treatments propel them to the brink of insanity.",,369,2004,,038073186X,9780380731862
Lamb,Christopher Moore,Fiction,http://books.google.com/books/content?id=cM4dlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.26,130754,"The birth of Jesus has been well chronicled, as have his glorious teachings, acts, and divine sacrifice after his thirtieth birthday. But no one knows about the early life of the Son of God, the missing years -- except Biff, the Messiah's best bud, who has been resurrected to tell the story in the divinely hilarious yet heartfelt work ""reminiscent of Vonnegut and Douglas Adams"" (Philadelphia Inquirer). Verily, the story Biff has to tell is a miraculous one, filled with remarkable journeys, magic, healings, kung fu, corpse reanimations, demons, and hot babes. Even the considerable wiles and devotion of the Savior's pal may not be enough to divert Joshua from his tragic destiny. But there's no one who loves Josh more -- except maybe ""Maggie,"" Mary of Magdala -- and Biff isn't about to let his extraordinary pal suffer and ascend without a fight.",,444,2003,"The Gospel According to Biff, Christ's Childhood Pal",380813815,9780380813810
The Bone Collector,Jeffery Deaver,Fiction,http://books.google.com/books/content?id=eA7YPtfG1a0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.19,132188,"Look who's back to chill readers to the bone... The first novel featuring Detective Lincoln Rhyme, from the New York Times bestselling author of The Stone Monkey.",,528,1998,,451188454,9780451188458
The Shadow Rising,Robert Jordan,Fiction,http://books.google.com/books/content?id=7-JfDlNcvhEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23,137790,"Perrin Aybara must return to Emond's Field to face the occupying Whitecloaks, while Rand enters the Aiel Waste and the forbidden city of Rhuidean",,1007,1993,Book Four of 'The Wheel of Time',812513738,9780812513738
Animal Farm and 1984,George Orwell,Fiction,http://books.google.com/books/content?id=h1KImAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.28,140015,"George Orwell's classic satire on totalitarianism in which farm animals overthrow their human owner and set up their own government is accompanied by ""1984,"" his portrayal of life in a future time when a totalitarian government watches over all citizens a",,400,2003,,151010269,9780151010264
Pippi Longstocking,Astrid Lindgren,Fiction,http://books.google.com/books/content?id=STE5PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.12,140107,Relates the antics of a rambunctious girl who lives with a horse and a monkey--but without any parents--at the edge of a Swedish village. Reissue.,,160,2005,,142402494,9780142402498
Lover Awakened,J. R. Ward,Fiction,http://books.google.com/books/content?id=FoubDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.45,141779,"When Zsadist, the most feared member of the Black Dagger Brotherhood, rescues Bella from the evil Lessening Society, he is nearly driven insane by rage against her tormentors, and must confront his tortured past in order to have a future with this brave beauty who is his destiny. Original.",,448,2006,A Novel of the Black Dagger Brotherhood,451219368,9780451219367
Murder on the Orient Express,Agatha Christie,Fiction,http://books.google.com/books/content?id=DZ47PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16,144452,"On a three-day journey through the snowbound Balkan hills, Hercule Poirot must weed through an array of international suspects to find the passenger who murdered a gangster on the Orient Express.",,322,2004,A Hercule Poirot Mystery,425200450,9780425200452
The Guardian,Nicholas Sparks,Fiction,http://books.google.com/books/content?id=DyxAPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.15,144654,"Julie Barenson's young husband left her two unexpected gifts before he died - a Great Dane puppy named Singer and the promise that he would always be watching over her. Now four years have passed. Still living in the small town of Swansboro, North Carolina, twenty-nine-year-old Julie is emotionally ready to make a commitment to someone again. But who? Should it be Richard Franklin, the handsome, sophisticated engineer who treats her like a queen? Or Mike Harris, the down-to-earth nice guy who was her husband's best friend? Choosing one of them should bring her more happiness than she's had in years. Instead, Julie is soon fighting for her life in a nightmare spawned by a chilling deception and jealousy so poisonous that it has become a murderous desire...",,400,2005,,446696110,9780446696111
